,scores
140,96.99723709541705
141,40.3915089500603
142,43.45759681427274
143,115.31936743735922
144,77.64554895899357
145,191.63981436194746
146,189.44162401542096
147,111.90424476022939
148,115.14561725349492
149,174.67943732482635
150,146.06446493903894
151,174.2124917629114
152,159.15331443058682
153,122.78803137482963
154,35.828465732878556
155,242.0169595914964
156,310.2896061001542
157,261.9409587006164
158,249.8082598776551
159,39.653690313983276
160,245.2117400278974
161,46.4280476521381
162,187.07343238043026
163,273.9366113429267
164,187.7560733006809
165,12.492959035765287
166,152.27958189746911
167,89.9061275446715
168,143.37736533650218
169,116.58304767583157
170,464.7341931546595
171,161.36489921994362
172,43.69123006893072
173,313.7357188458801
174,389.62394064400524
175,92.95696968574335
176,166.42863655834154
177,119.40901576111405
178,143.1426188333159
179,33.46982257576871
180,191.96281639784556
181,33.90679787282235
182,198.32694298457147
183,195.45415683579583
184,165.79640771236583
185,181.49133682750636
186,173.59090849526598
187,103.80506171136899
188,183.55641801138668
189,77.1855482127184
190,64.31998199924372
191,6.792794449380951
192,147.4307680208394
193,204.9173202019659
194,196.2233204438516
195,211.76998489014937
196,209.391423225334
197,189.81030808745436
198,96.21299389444437
199,180.26007768072796
200,204.08523322433905
201,86.37578952308475
202,48.024433645999125
203,88.52926550003812
204,208.883223863242
205,101.17519894081262
206,171.6780703386584
207,221.10812496416176
208,108.53298024525999
209,436.9699684761866
210,85.40460783243697
211,124.37934965053633
212,58.43887799970379
213,172.81619372503317
214,167.80263555946718
215,59.262698141173075
216,316.07198428106994
217,463.48929596376803
218,193.22413762275772
219,45.529372429925196
220,109.78639006667528
221,69.21508301162491
222,180.2423036820138
223,181.2568602111276
224,419.8693383002528
225,171.8241120554538
226,175.0301693707904
227,80.57844679014934
228,98.20320516666679
229,165.21776183958437
230,186.6812738035095
231,59.20383206312557
232,212.70037259238842
233,17.840055275418898
234,112.22559883938948
235,456.1176093669521
236,181.4154141070904
237,458.6160882595152
238,193.93548886524317
239,461.5479184968657
240,184.72566706028817
241,455.2333275733077
242,450.83083525377185
243,203.5932691099478
244,197.54717113466626
245,195.45904313352997
246,167.90070112650668
247,189.8177211889754
248,203.84635708247816
249,201.18515606395664
250,255.53126270774553
251,219.25302622209307
252,188.5228953227874
253,273.60151002897805
254,179.11776242467124
255,338.6949386168776
256,462.20491773163707
257,204.44174195711952
258,192.6403743805551
259,134.2934136931169
260,44.4260033850272
261,158.7396099275402
262,175.99537148290915
263,155.10477041520429
264,180.27531009951923
265,133.04663520168089
266,186.26660812141088
267,137.77979811152522
268,178.05472862551696
269,126.61619422871149
270,170.48146679043685
271,156.26736934589485
272,164.22265001838724
273,152.89169696940718
274,166.38920845145338
275,168.45620737825192
276,173.6760139591029
277,159.6388849433608
278,161.5680798701761
279,162.01654101185338
280,176.95267300758104
281,160.0285037593442
282,172.14757975767625
283,166.3870944080804
284,142.64168926527074
285,178.12576023440775
286,98.27716272807669
287,165.78457869235095
288,117.24294794684286
289,177.12880638757946
290,179.6289067573616
291,152.08883438420426
292,168.2565822238171
293,147.31101395521563
294,298.20285818267746
295,134.39220604982683
