,losses,epsilons
86,"(0.31861183047294617, array(2.3454673, dtype=float32))",0.9916878674457983
87,"(0.3598986864089966, array(2.3749783, dtype=float32))",0.9915927284388857
88,"(0.3573332130908966, array(2.3114033, dtype=float32))",0.991497598559271
89,"(0.346687912940979, array(2.4001632, dtype=float32))",0.9914024778060787
90,"(0.3302919268608093, array(2.4189436, dtype=float32))",0.9913073661784331
91,"(0.3490375876426697, array(2.4519894, dtype=float32))",0.9912122636754587
92,"(0.3482244610786438, array(2.3629572, dtype=float32))",0.9911171702962802
93,"(0.34756606817245483, array(2.4719477, dtype=float32))",0.9910220860400224
94,"(0.35644426941871643, array(2.39288, dtype=float32))",0.9909270109058099
95,"(0.3449520468711853, array(2.513767, dtype=float32))",0.9908319448927676
96,"(0.3222176432609558, array(2.4633126, dtype=float32))",0.9907368880000206
97,"(0.3569466173648834, array(2.487106, dtype=float32))",0.9906418402266937
98,"(0.36570537090301514, array(2.506911, dtype=float32))",0.9905468015719121
99,"(0.34169650077819824, array(2.5172672, dtype=float32))",0.9904517720348011
100,"(0.3566904067993164, array(2.4829192, dtype=float32))",0.9903567516144858
101,"(0.3384218215942383, array(2.5762992, dtype=float32))",0.9902617403100917
102,"(0.34061241149902344, array(2.6113615, dtype=float32))",0.9901667381207443
103,"(0.3331477642059326, array(2.5212286, dtype=float32))",0.9900717450455689
104,"(0.35732290148735046, array(2.5885744, dtype=float32))",0.9899767610836914
105,"(0.3425801396369934, array(2.6006536, dtype=float32))",0.9898817862342374
106,"(0.31908392906188965, array(2.6546178, dtype=float32))",0.9897868204963326
107,"(0.3482493460178375, array(2.5917494, dtype=float32))",0.9896918638691029
108,"(0.32941803336143494, array(2.6493526, dtype=float32))",0.9895969163516743
109,"(0.296267032623291, array(2.6969595, dtype=float32))",0.989501977943173
110,"(0.33877435326576233, array(2.6719553, dtype=float32))",0.9894070486427248
111,"(0.30571475625038147, array(2.6771712, dtype=float32))",0.989312128449456
112,"(0.3025735914707184, array(2.7403793, dtype=float32))",0.989217217362493
113,"(0.3153141736984253, array(2.7100117, dtype=float32))",0.9891223153809622
114,"(0.33448708057403564, array(2.681735, dtype=float32))",0.9890274225039899
115,"(0.30887532234191895, array(2.7396073, dtype=float32))",0.9889325387307027
116,"(0.32349151372909546, array(2.767296, dtype=float32))",0.9888376640602272
117,"(0.3053823709487915, array(2.77854, dtype=float32))",0.9887427984916902
118,"(0.33429741859436035, array(2.7914479, dtype=float32))",0.9886479420242186
119,"(0.3244863748550415, array(2.7633157, dtype=float32))",0.9885530946569389
120,"(0.29395124316215515, array(2.862058, dtype=float32))",0.9884582563889783
121,"(0.3136080205440521, array(2.8191388, dtype=float32))",0.9883634272194639
122,"(0.3501039147377014, array(2.7623107, dtype=float32))",0.9882686071475227
123,"(0.3538840115070343, array(2.8199296, dtype=float32))",0.988173796172282
124,"(0.36286598443984985, array(2.7916238, dtype=float32))",0.988078994292869
125,"(0.3229059875011444, array(2.8980157, dtype=float32))",0.9879842015084112
126,"(0.3471558690071106, array(2.8650742, dtype=float32))",0.987889417818036
127,"(0.33268651366233826, array(2.923001, dtype=float32))",0.9877946432208708
128,"(0.3245939016342163, array(2.9487584, dtype=float32))",0.9876998777160435
129,"(0.2891659140586853, array(2.9544778, dtype=float32))",0.9876051213026817
130,"(0.2959018349647522, array(2.9121723, dtype=float32))",0.9875103739799131
131,"(0.33353284001350403, array(2.9291463, dtype=float32))",0.9874156357468657
132,"(0.3046928346157074, array(3.0407498, dtype=float32))",0.9873209066026675
133,"(0.3071129024028778, array(3.0564744, dtype=float32))",0.9872261865464464
134,"(0.32503366470336914, array(2.9770575, dtype=float32))",0.9871314755773306
135,"(0.35776594281196594, array(2.9472601, dtype=float32))",0.9870367736944483
136,"(0.2899278998374939, array(3.0507407, dtype=float32))",0.9869420808969279
137,"(0.29226359724998474, array(3.0607762, dtype=float32))",0.9868473971838977
138,"(0.384818434715271, array(2.9869294, dtype=float32))",0.9867527225544861
139,"(0.29733699560165405, array(3.1488767, dtype=float32))",0.9866580570078217
140,"(0.29952216148376465, array(3.1155007, dtype=float32))",0.9865634005430333
141,"(0.30673566460609436, array(3.1318526, dtype=float32))",0.9864687531592493
142,"(0.27936652302742004, array(3.191142, dtype=float32))",0.9863741148555988
143,"(0.269431471824646, array(3.2055883, dtype=float32))",0.9862794856312105
144,"(0.2824925184249878, array(3.2168393, dtype=float32))",0.9861848654852134
145,"(0.3156581521034241, array(3.1340814, dtype=float32))",0.9860902544167367
146,"(0.29997968673706055, array(3.2004218, dtype=float32))",0.9859956524249093
147,"(0.29306167364120483, array(3.208626, dtype=float32))",0.9859010595088605
148,"(0.26729944348335266, array(3.2787018, dtype=float32))",0.9858064756677197
149,"(0.35610824823379517, array(3.1998134, dtype=float32))",0.9857119009006162
150,"(0.28007280826568604, array(3.2613127, dtype=float32))",0.9856173352066795
151,"(0.31646472215652466, array(3.2171352, dtype=float32))",0.9855227785850391
152,"(0.2721922695636749, array(3.3389053, dtype=float32))",0.9854282310348248
153,"(0.29401153326034546, array(3.305778, dtype=float32))",0.985333692555166
154,"(0.2903589904308319, array(3.3720407, dtype=float32))",0.9852391631451929
155,"(0.2578430771827698, array(3.385882, dtype=float32))",0.985144642804035
156,"(0.26500964164733887, array(3.3986459, dtype=float32))",0.9850501315308225
157,"(0.2578500807285309, array(3.4118128, dtype=float32))",0.9849556293246855
158,"(0.32733333110809326, array(3.3158374, dtype=float32))",0.984861136184754
159,"(0.31140249967575073, array(3.3941922, dtype=float32))",0.9847666521101582
160,"(0.30419957637786865, array(3.4013965, dtype=float32))",0.9846721771000285
161,"(0.2788968086242676, array(3.4239583, dtype=float32))",0.9845777111534953
162,"(0.28607070446014404, array(3.4331608, dtype=float32))",0.9844832542696891
163,"(0.3251554071903229, array(3.3873925, dtype=float32))",0.9843888064477402
164,"(0.26479989290237427, array(3.525711, dtype=float32))",0.9842943676867796
165,"(0.2564258873462677, array(3.4702778, dtype=float32))",0.9841999379859377
166,"(0.26011744141578674, array(3.4889765, dtype=float32))",0.9841055173443455
167,"(0.2646285891532898, array(3.5666974, dtype=float32))",0.9840111057611338
168,"(0.24009919166564941, array(3.5923738, dtype=float32))",0.9839167032354337
169,"(0.25398173928260803, array(3.5966866, dtype=float32))",0.9838223097663761
170,"(0.2346583604812622, array(3.616114, dtype=float32))",0.9837279253530922
171,"(0.3026330769062042, array(3.5633156, dtype=float32))",0.9836335499947131
172,"(0.2915721535682678, array(3.580924, dtype=float32))",0.9835391836903703
173,"(0.3893321454524994, array(3.4232962, dtype=float32))",0.9834448264391952
174,"(0.29130691289901733, array(3.6292233, dtype=float32))",0.9833504782403191
175,"(0.28152889013290405, array(3.6311293, dtype=float32))",0.9832561390928737
176,"(0.31764307618141174, array(3.581052, dtype=float32))",0.9831618089959905
177,"(0.26188692450523376, array(3.6523027, dtype=float32))",0.9830674879488013
178,"(0.3107667565345764, array(3.6727378, dtype=float32))",0.982973175950438
179,"(0.2920794188976288, array(3.6941807, dtype=float32))",0.9828788730000323
180,"(0.2909015715122223, array(3.712916, dtype=float32))",0.9827845790967162
181,"(0.24864338338375092, array(3.7593846, dtype=float32))",0.982690294239622
182,"(0.25331956148147583, array(3.6970792, dtype=float32))",0.9825960184278815
183,"(0.34796422719955444, array(3.6165037, dtype=float32))",0.982501751660627
184,"(0.2728554308414459, array(3.779663, dtype=float32))",0.982407493936991
185,"(0.25321099162101746, array(3.8333158, dtype=float32))",0.9823132452561057
186,"(0.26553457975387573, array(3.7796032, dtype=float32))",0.9822190056171037
187,"(0.28948014974594116, array(3.7934585, dtype=float32))",0.9821247750191175
188,"(0.2633134722709656, array(3.8852384, dtype=float32))",0.9820305534612798
189,"(0.26648402214050293, array(3.8258681, dtype=float32))",0.9819363409427231
190,"(0.2727426588535309, array(3.8322554, dtype=float32))",0.9818421374625803
191,"(0.2647036015987396, array(3.8536253, dtype=float32))",0.9817479430199845
192,"(0.3760877549648285, array(3.683745, dtype=float32))",0.9816537576140684
193,"(0.24901729822158813, array(3.8686333, dtype=float32))",0.9815595812439653
194,"(0.2743780314922333, array(3.8954163, dtype=float32))",0.9814654139088079
195,"(0.3475897014141083, array(3.7715268, dtype=float32))",0.98137125560773
196,"(0.2769124507904053, array(3.8901026, dtype=float32))",0.9812771063398645
197,"(0.2530750334262848, array(3.9139187, dtype=float32))",0.981182966104345
198,"(0.2779528796672821, array(3.9730837, dtype=float32))",0.9810888349003047
199,"(0.2422652393579483, array(3.9870772, dtype=float32))",0.9809947127268774
200,"(0.3493289649486542, array(3.8533275, dtype=float32))",0.9809005995831966
201,"(0.25710025429725647, array(3.994337, dtype=float32))",0.9808064954683963
202,"(0.2216493785381317, array(4.117891, dtype=float32))",0.9807124003816099
203,"(0.28467729687690735, array(3.990933, dtype=float32))",0.9806183143219714
204,"(0.2804045081138611, array(4.0615983, dtype=float32))",0.9805242372886149
205,"(0.3653073310852051, array(3.900229, dtype=float32))",0.9804301692806745
206,"(0.22850866615772247, array(4.1263986, dtype=float32))",0.9803361102972841
207,"(0.3081487715244293, array(4.070581, dtype=float32))",0.980242060337578
208,"(0.19924254715442657, array(4.178173, dtype=float32))",0.9801480194006906
209,"(0.29366329312324524, array(4.0333476, dtype=float32))",0.9800539874857562
210,"(0.2139013409614563, array(4.182531, dtype=float32))",0.9799599645919093
211,"(0.2031371295452118, array(4.222737, dtype=float32))",0.9798659507182844
212,"(0.20471668243408203, array(4.1949472, dtype=float32))",0.9797719458640162
213,"(0.2189115285873413, array(4.2309613, dtype=float32))",0.9796779500282393
214,"(0.20180489122867584, array(4.2232037, dtype=float32))",0.9795839632100886
215,"(0.22546307742595673, array(4.233629, dtype=float32))",0.9794899854086989
216,"(0.19535164535045624, array(4.261312, dtype=float32))",0.9793960166232053
217,"(0.20010867714881897, array(4.279913, dtype=float32))",0.9793020568527427
218,"(0.2624107599258423, array(4.2125473, dtype=float32))",0.9792081060964465
219,"(0.21514646708965302, array(4.330242, dtype=float32))",0.9791141643534514
220,"(0.18234685063362122, array(4.3329487, dtype=float32))",0.9790202316228932
221,"(0.26157277822494507, array(4.2504377, dtype=float32))",0.9789263079039071
222,"(0.30091968178749084, array(4.205541, dtype=float32))",0.9788323931956284
223,"(0.2322535365819931, array(4.3392887, dtype=float32))",0.9787384874971929
224,"(0.2547677457332611, array(4.2853813, dtype=float32))",0.9786445908077361
